19:33:29.%f,-56.16,-0.11,179.33,14.00,8.00,10.00
19:33:30.%f,-56.09,-0.23,179.52,12.00,-1.00,-4.00
19:33:30.%f,-56.12,-0.15,179.46,27.00,2.00,8.00
19:33:30.%f,-56.09,-0.14,179.51,10.00,-6.00,-4.00
19:33:30.%f,-55.98,-0.03,179.40,4.00,-3.00,16.00
19:33:30.%f,-55.53,0.07,179.36,18.00,-1.00,-7.00
19:33:30.%f,-53.33,0.33,179.58,49.00,-3.00,3.00
19:33:30.%f,-50.51,0.78,-179.42,19.00,8.00,-18.00
19:33:30.%f,-47.70,1.23,-179.77,5.00,26.00,6.00
19:33:30.%f,-44.50,2.21,-179.45,15.00,-3.00,22.00
19:33:31.%f,-41.18,2.34,-179.25,15.00,0.00,2.00
19:33:31.%f,-37.59,2.53,-179.11,29.00,-11.00,9.00
19:33:31.%f,-33.36,1.86,-178.86,17.00,-21.00,0.00
19:33:31.%f,-29.68,1.57,-178.76,21.00,-20.00,1.00
19:33:31.%f,-26.27,1.50,-179.10,25.00,-3.00,-9.00
19:33:31.%f,-22.52,1.67,-179.90,35.00,-3.00,-2.00
19:33:31.%f,-18.50,2.26,-178.94,28.00,-23.00,2.00
19:33:31.%f,-15.25,2.70,179.97,33.00,-24.00,18.00
19:33:31.%f,-11.91,2.91,179.75,22.00,-10.00,-8.00
19:33:32.%f,-8.42,3.59,-179.89,27.00,-16.00,20.00
19:33:32.%f,-5.67,4.19,-179.02,22.00,-20.00,13.00
19:33:32.%f,-3.58,4.28,-179.15,21.00,-10.00,9.00
19:33:32.%f,-1.18,4.05,-179.15,15.00,-15.00,1.00
19:33:32.%f,1.79,3.94,-178.54,39.00,-17.00,16.00
19:33:32.%f,3.50,3.77,-178.83,14.00,-27.00,17.00
19:33:32.%f,4.32,3.26,-179.90,10.00,-4.00,-10.00
19:33:32.%f,6.34,3.07,-179.97,42.00,-2.00,-11.00
19:33:32.%f,9.44,3.09,-179.67,45.00,-5.00,5.00
19:33:33.%f,12.92,3.25,-178.70,14.00,-19.00,6.00
19:33:33.%f,15.84,2.86,-178.30,11.00,-18.00,13.00
19:33:33.%f,18.02,2.01,-178.26,11.00,-12.00,-8.00
19:33:33.%f,20.06,1.46,-178.57,32.00,-6.00,-16.00
19:33:33.%f,22.80,1.90,-178.32,55.00,-13.00,-5.00
19:33:33.%f,26.13,2.29,-177.78,26.00,-16.00,19.00
19:33:33.%f,29.21,1.84,-177.17,12.00,-12.00,-1.00
19:33:33.%f,32.21,1.34,-176.77,6.00,-12.00,4.00
19:33:33.%f,34.88,0.97,-176.68,19.00,-7.00,10.00
19:33:34.%f,38.19,0.32,-176.54,40.00,-16.00,-5.00
19:33:34.%f,41.39,-0.40,-176.56,18.00,-20.00,-6.00
19:33:34.%f,43.97,-0.35,-176.73,19.00,-18.00,-5.00
19:33:34.%f,46.85,-0.57,-176.96,11.00,-15.00,0.00
19:33:34.%f,51.16,-0.89,-176.73,27.00,-32.00,16.00
19:33:34.%f,54.80,-1.79,-176.80,8.00,-31.00,-4.00
19:33:34.%f,58.07,-1.49,-177.20,32.00,-25.00,-4.00
19:33:34.%f,61.54,-1.42,-177.02,22.00,-18.00,-10.00
19:33:34.%f,66.23,-1.74,-176.01,27.00,-36.00,9.00
19:33:35.%f,69.28,-2.02,-175.66,25.00,-19.00,5.00
19:33:35.%f,72.41,-2.45,-175.67,18.00,-10.00,15.00
19:33:35.%f,76.88,-2.83,-175.33,19.00,-16.00,-8.00
19:33:35.%f,81.45,-2.89,-176.83,19.00,8.00,18.00
19:33:35.%f,86.89,-3.41,-177.73,33.00,-4.00,-9.00
19:33:35.%f,93.37,-3.81,-178.94,27.00,-32.00,-10.00
19:33:35.%f,98.28,-3.42,-179.24,47.00,-33.00,-7.00
19:33:35.%f,102.62,-3.18,179.19,46.00,-19.00,7.00
19:33:36.%f,106.39,-2.92,179.12,28.00,-32.00,-19.00
19:33:36.%f,109.35,-1.71,178.87,0.00,-28.00,16.00
19:33:36.%f,111.09,-0.86,178.96,-1.00,-9.00,15.00
19:33:36.%f,112.96,-0.62,178.28,-2.00,-18.00,41.00
19:33:36.%f,113.81,-1.07,178.65,-10.00,-37.00,-11.00
19:33:36.%f,113.39,-1.00,178.60,11.00,-10.00,12.00
19:33:36.%f,113.25,-0.73,178.65,28.00,-18.00,-1.00
19:33:36.%f,113.54,-0.10,178.56,29.00,-9.00,16.00
19:33:36.%f,113.23,-0.32,179.25,4.00,-9.00,-33.00
19:33:37.%f,112.88,0.38,178.65,38.00,5.00,14.00
19:33:37.%f,112.77,0.95,178.80,17.00,-17.00,21.00
19:33:37.%f,112.15,0.87,178.69,6.00,-9.00,11.00
19:33:37.%f,112.00,0.99,178.59,24.00,-26.00,16.00
19:33:37.%f,111.91,0.81,178.84,15.00,-20.00,-13.00
19:33:37.%f,111.52,0.88,178.83,1.00,-13.00,-11.00
19:33:37.%f,110.93,1.39,179.54,-16.00,-24.00,31.00
19:33:37.%f,109.65,1.51,179.57,-17.00,-1.00,0.00
19:33:37.%f,107.45,2.30,-178.77,-6.00,-45.00,16.00
19:33:38.%f,103.77,2.42,-178.38,11.00,12.00,9.00
19:33:38.%f,99.29,3.03,-178.12,52.00,48.00,-18.00
19:33:38.%f,95.32,3.86,-176.74,20.00,12.00,-4.00
19:33:38.%f,91.13,4.75,-176.59,-40.00,14.00,15.00
19:33:38.%f,86.35,5.19,-176.74,-33.00,24.00,-20.00
